CMS, Utilities, Feature Numbers: 1.1981562 0.7162135 -0.056470793 -2.2762923 -0.6882843 -0.37814152 -0.9240317 -2.7314043 -1.1218305 -2.1016147 0.42139113 0.07876893 1.78775 -0.6005069 0.50429946 
PCG, Utilities, Feature Numbers: 1.1424513 0.7138158 0.13456887 -1.9684484 -0.4622762 -0.2328193 -0.7711546 -2.2035513 -0.84974504 -1.7354198 0.49318647 -0.103997774 1.4601203 -0.36914843 0.28260472 
VLO, Energy, Feature Numbers: 0.5913888 0.69671464 0.664979 0.34951147 -0.39003396 0.30253288 0.24177252 0.7624056 -0.0038746588 0.08352033 0.17464209 -1.3783592 0.3189162 1.7059504 -0.2098837 
HUM, Health Care, Feature Numbers: 0.43870643 -0.019342955 -0.04721448 0.23828182 0.016958842 -0.09774686 0.3556238 0.25979808 0.044274647 -0.6389339 0.3223302 -0.7008722 -0.49234915 0.5649696 0.19095165 
PCLN, Consumer Discretionary, Feature Numbers: 0.31108207 -0.13402486 0.0053156842 0.41981614 0.09032635 -0.2712049 0.21250568 0.20002322 0.33102068 -0.39846626 -0.008617753 -0.5258195 -0.6073041 0.5070154 0.06222736 
GRMN, Consumer Discretionary, Feature Numbers: 0.33412707 -0.15134676 0.25081855 0.29755685 0.08096565 -0.41257194 0.19601145 -0.013209461 0.23623465 -0.044206653 -0.12436347 -0.37363803 -0.297303 0.7481937 0.08310855 
FTV, Industrials, Feature Numbers: 0.43015385 -0.15769808 -0.0133641455 0.07547361 0.08578171 -0.59126866 -0.038496338 -0.421771 0.24965847 -0.23790699 -0.35486206 -0.13398 -0.31191456 0.15271449 0.22859892 
SNPS, Information Technology, Feature Numbers: 0.3430219 -0.60345143 -0.42250568 -0.21648335 0.36417675 -0.8341213 -0.061101463 -0.72293186 0.43683973 -0.6255254 -0.15167966 0.14694238 -0.7759191 -0.42333522 0.33785236 
K, Consumer Staples, Feature Numbers: 0.84512585 -0.27498743 0.08057547 -1.1182204 0.1624186 -0.8219906 -0.27612972 -1.489501 -0.90642405 -1.0423173 0.019954672 0.4249452 -0.3413266 -0.7732371 0.7384163 
FFIV, Information Technology, Feature Numbers: 0.29584938 0.044285063 0.041803878 0.5949686 0.17208683 -0.11501445 0.30045047 0.23506066 0.4813464 -0.36152008 -0.15100609 -0.60015124 -0.17784256 0.7884256 -0.12782937 
BLL, Materials, Feature Numbers: 0.44287974 -0.4300523 -0.01135846 -0.26796114 0.081900485 -0.76454854 -0.17914893 -0.8539551 -0.14574581 -0.5982017 -0.10914468 0.101198725 -0.35864192 -0.17028105 0.32426658 
HCA, Health Care, Feature Numbers: 0.26436552 -0.012633703 0.15605281 0.3151255 -0.11992093 0.09582264 0.23762365 0.4134143 0.038740277 -0.65051574 0.108996205 -0.7578291 -0.23473442 1.0143917 0.03207245 
BLK, Financials, Feature Numbers: 0.4028961 -0.47189665 -0.52422976 0.40429828 0.19195057 -0.83204913 -0.10459403 -0.31026533 1.0148841 -0.11006999 -0.40675133 -0.10992213 -0.38751748 -0.13159925 -0.05092466 
FTI, Energy, Feature Numbers: 0.7339496 0.7737447 1.3147751 0.55907494 -0.13260044 -0.3106469 0.53481233 0.30599988 -0.016599886 1.0300146 -0.9269987 -0.48092887 0.93891853 1.9475825 -0.2779674 
HCN, Real Estate, Feature Numbers: 1.836791 0.021731565 0.70389736 -1.6714195 -0.9467875 -0.6450593 -0.44922134 -0.6807062 -1.2763131 -0.6198216 0.9304286 -0.11738903 -0.5963793 -0.8501022 0.59335 
NFX, Energy, Feature Numbers: 1.145377 1.5218097 2.1860788 0.68094677 -0.6339225 0.54508144 0.93946713 0.9830189 -0.5903462 1.097579 -0.698707 -1.028996 1.4469994 3.189207 -0.22652932 
MA, Information Technology, Feature Numbers: 0.32308227 -0.5179754 -0.44840693 -0.057039723 0.34244308 -0.74227905 -0.12663975 -0.6903123 0.3159502 -0.748849 -0.106599614 -0.078002885 -0.46238732 -0.37251186 0.2836586 
CBG, Real Estate, Feature Numbers: 0.57518524 0.07762609 0.23071152 -0.033907793 -0.28710386 -0.08722978 0.02242141 0.062120624 0.2178433 -0.19628115 -0.29999897 -0.47086713 -0.11217033 0.7626849 -0.1529743 
PRGO, Health Care, Feature Numbers: 0.52936596 0.15885442 0.46004924 0.3548211 -0.30341685 0.29803365 0.43878436 0.63368833 -0.11796184 -0.5064908 0.17152825 -1.1119167 -0.11228526 1.0930316 -0.27749428 
MO, Consumer Staples, Feature Numbers: 0.7110458 -0.28416964 -0.24994722 -1.0269377 -0.03682418 -0.98609996 -0.2861948 -1.6126713 -0.53162473 -0.9651244 -0.05068622 0.35055017 -0.24043651 -0.8979957 0.55178386 
HLT, Consumer Discretionary, Feature Numbers: 0.42126167 -0.10510776 -0.11405946 0.023432776 0.078276455 -0.5336828 -0.033718478 -0.44221696 0.3198332 -0.416501 -0.2359867 -0.2018382 -0.15362786 0.19617425 0.067166224 
NOC, Industrials, Feature Numbers: 0.37586185 -0.46546814 -0.59170425 -0.49366328 0.27602956 -1.0938041 -0.037541397 -0.8811146 0.1857842 -0.7432748 -0.08763597 0.1421872 -0.32864863 -0.53163093 0.3898499 
MU, Information Technology, Feature Numbers: 0.6185746 0.5356475 1.0317723 1.1735473 -0.51104707 1.0149248 0.84702516 1.8531463 0.44605297 0.18168208 0.13489169 -1.8744813 0.23394229 2.5365467 -0.56554556 
CBS, Consumer Discretionary, Feature Numbers: 0.3970777 0.12040581 0.3600245 0.45651484 -0.22582972 0.06763768 0.33396795 0.28421253 0.18958765 -0.24195279 -0.20251411 -0.5947691 -0.10108805 1.0628164 -0.02228692 
OKE, Energy, Feature Numbers: 1.1472092 1.0951257 1.6149946 -0.1555311 -0.49828118 0.18028033 0.42810765 0.17072362 -0.5281672 0.60049623 -0.51206696 -0.6508266 1.1892676 1.9980068 -0.20319113 
UHS, Health Care, Feature Numbers: 0.4090834 -0.07273371 0.06552504 0.42762047 -0.20841268 0.16622369 0.19523212 0.2633772 0.21687466 -0.43779123 0.049740385 -0.86302334 -0.09444577 0.92411363 -0.18185797 
MS, Financials, Feature Numbers: 0.2140414 -0.077484444 -0.34428507 1.1979297 0.33351567 -0.77422935 0.22840258 0.5549565 1.7435349 0.7130258 -1.0871955 -0.3210129 -0.24422008 0.7908419 -0.5656075 
TJX, Consumer Discretionary, Feature Numbers: 0.63983214 -0.41826504 -0.07640882 -0.05595108 -0.17717578 -0.14532992 0.06509086 -0.53484535 -0.20672329 -0.49398428 -0.13734691 -0.14507554 -0.49959883 0.18206988 0.099351965 
NOV, Energy, Feature Numbers: 0.83590263 0.85053617 1.5375116 0.40725294 -0.3108934 -0.011785999 0.35821697 0.18622568 -0.21118048 0.8944156 -0.7792596 -0.5026643 0.9449226 2.0370126 -0.16639714 
AMGN, Health Care, Feature Numbers: 0.23430693 -0.3513788 -0.17552303 0.39126587 0.28443274 -0.050150927 0.38226464 0.49188638 0.34395337 -0.7737817 0.16710296 -0.6337578 -0.35330355 0.7377732 0.10978016 
FB, Information Technology, Feature Numbers: 0.29129344 -0.018423587 0.0662456 0.21919976 -0.24730569 0.32112008 0.56410277 0.6539521 -0.0016078126 -0.93486947 0.4997806 -1.096218 -0.3825454 0.9437353 0.025444921 
COST, Consumer Staples, Feature Numbers: 0.5536167 -0.6738635 -0.48081905 -0.5130738 0.18527292 -0.8518097 -0.25946325 -1.1830552 -0.20837262 -0.9607087 -0.01579786 0.09935888 -0.61689806 -0.90343845 0.65062994 
FE, Utilities, Feature Numbers: 0.9796157 0.6881763 0.35655388 -1.2023394 -0.62115103 0.25572112 -0.34567776 -1.4300681 -0.7977543 -1.3558401 0.2757504 -0.44142935 1.24856 0.3282404 0.16694047 
CTL, Telecommunication Services, Feature Numbers: 0.6770726 0.2268228 0.70122224 -0.27326235 -0.4815649 0.08511683 0.14341761 -0.32622507 -0.58926874 -0.35230878 -0.19054766 -0.3815465 0.017141974 0.85324347 0.10473552 
ADBE, Information Technology, Feature Numbers: -0.03667815 -0.5055879 -0.44005674 0.5022217 0.36803675 -0.36430994 0.15798117 -0.07618521 0.5388644 -0.8090288 -0.066826716 -0.4232212 -0.73883027 0.22886193 0.1650236 
FL, Consumer Discretionary, Feature Numbers: 0.5585459 -0.23061375 0.43937722 0.35186762 -0.33375603 0.019266263 0.3435795 0.29327193 -0.3270639 0.053941704 -0.17074122 -0.6756705 -0.6425169 0.92105556 -0.08323115 
REG, Real Estate, Feature Numbers: 1.737933 0.21226804 0.98946226 -1.8048801 -0.8299349 -0.7850927 -0.3081803 -0.5924897 -1.6157849 -0.5485742 0.64873344 0.0529819 -0.58172894 -0.5886276 0.57395476 
MSFT, Information Technology, Feature Numbers: 0.1494434 -0.49200884 -0.71388876 -0.008523473 0.1994361 -0.6239049 -0.030869069 -0.70123935 0.56835747 -0.8264594 -0.17700586 -0.050549526 -0.63278526 -0.27263334 0.24687393 
GLW, Information Technology, Feature Numbers: 0.45652053 -0.33684668 -0.2048028 0.35955957 0.35680345 -0.8750324 0.06736583 -0.32349944 0.80906177 0.036639478 -0.5529791 0.051156763 -0.25331494 -0.028549114 0.2377701 
SCHW, Financials, Feature Numbers: 0.1575998 -0.053549875 -0.38184518 1.4917386 0.15272237 -0.35249823 0.31062442 0.75161374 1.6850309 0.39502457 -0.6866208 -0.6512913 -0.1638969 1.0217749 -0.45194978 
BSX, Health Care, Feature Numbers: 0.15638767 -0.27497357 -0.32222962 0.29155806 0.08136232 -0.061030313 0.30244163 0.25309762 0.22000523 -0.92708725 0.43285832 -0.8232949 -0.7143904 0.42580923 0.23467419 
